1

    TITLE SDB Name = LHSTEST         , Ver = 2.51         07/12/00                                      

    RANDOM SEED =   933090934

    NUMBER OF VARIABLES =   4

    NUMBER OF OBSERVATIONS =  500
0   THE SAMPLE INPUT VECTORS WILL BE PRINTED ALONG WITH THEIR CORRESPONDING RANKS
0   HISTOGRAMS OF THE ACTUAL SAMPLE WILL BE PLOTTED FOR EACH INPUT VARIABLE
0   THE CORRELATION MATRICES (RAW DATA AND RANK CORRELATIONS) WILL BE PRINTED
1

    TITLE SDB Name = LHSTEST         , Ver = 2.51         07/12/00                                      

    VARIABLE  DISTRIBUTION          RANGE            LABEL
0       1     NORMAL             -3.708     TO    3.500      NorPer3000  PerLN                                           
0       2     NORMAL             7.8980E-02 TO    10.50      NorPor  PorNO                                               
0       3     UNIFORM             10.00     TO    100.0      UniMult Mult                                                
0       4     NORMAL              3.559     TO    5.205      	                NorLength  Length                          
1TITLE SDB Name = LHSTEST         , Ver = 2.51         07/12/00                                      
0LATIN HYPERCUBE SAMPLE INPUT VECTORS

 RUN NO.  X(1)       X(2)       X(3)       X(4)
0    1  3.500E+00  4.357E+00  9.032E+01  4.108E+00
0    2  2.107E+00  1.852E+00  2.309E+01  4.415E+00
0    3 -1.037E+00  6.725E+00  6.878E+01  4.704E+00
0    4 -1.212E+00  3.909E+00  1.810E+01  4.322E+00
0    5 -1.640E+00  4.508E+00  6.261E+01  4.526E+00
0    6  6.116E-01  5.170E+00  6.597E+01  4.663E+00
0    7  9.679E-01  6.248E+00  6.169E+01  3.888E+00
0    8  3.541E-01  6.463E+00  7.606E+01  4.510E+00
0    9 -6.543E-01  5.854E+00  3.806E+01  4.354E+00
0   10 -7.472E-01  1.275E+00  7.812E+01  5.087E+00
0   11 -4.886E-01  8.667E+00  6.215E+01  4.499E+00
0   12 -7.418E-01  7.898E-02  2.108E+01  4.353E+00
0   13 -9.491E-01  3.840E+00  2.457E+01  4.604E+00
0   14 -1.955E+00  3.903E+00  9.219E+01  4.464E+00
0   15 -1.020E+00  5.115E+00  1.143E+01  4.235E+00
0   16 -3.709E+00  3.605E+00  8.390E+01  4.166E+00
0   17 -4.675E-01  5.300E+00  4.206E+01  4.963E+00
0   18 -8.006E-01  8.219E+00  4.548E+01  4.774E+00
0   19 -2.682E+00  1.014E+00  2.665E+01  5.140E+00
0   20  1.216E+00  3.079E+00  6.485E+01  4.312E+00
0   21 -1.352E+00  7.471E+00  9.907E+01  4.434E+00
0   22 -7.146E-01  2.002E+00  6.352E+01  4.226E+00
0   23  3.737E-02  4.880E+00  5.745E+01  4.261E+00
0   24  3.244E-01  6.084E+00  1.522E+01  4.233E+00
0   25 -1.297E+00  4.707E+00  3.575E+01  4.982E+00
0   26  1.233E+00  4.981E+00  2.087E+01  4.284E+00
0   27  3.252E+00  6.846E+00  9.677E+01  5.058E+00
0   28  7.224E-01  2.938E+00  3.125E+01  4.515E+00
0   29  2.665E+00  4.319E+00  4.984E+01  4.349E+00
0   30  1.085E+00  2.685E+00  9.501E+01  4.399E+00
0   31  7.323E-03  2.613E+00  8.724E+01  4.657E+00
0   32 -7.721E-01  6.916E+00  3.435E+01  4.529E+00
0   33 -1.380E+00  6.200E+00  4.408E+01  3.667E+00
0   34  4.938E-01  4.400E+00  8.053E+01  4.671E+00
0   35 -1.435E+00  6.667E+00  6.006E+01  4.269E+00
0   36 -2.839E+00  1.821E+00  7.700E+01  4.276E+00
0   37 -2.334E+00  8.797E+00  7.205E+01  4.449E+00
0   38  9.205E-01  1.050E+01  1.376E+01  4.822E+00
0   39 -1.706E-02  6.709E+00  8.455E+01  4.456E+00
0   40 -3.709E+00  4.598E+00  1.117E+01  4.486E+00
0   41  7.091E-01  4.907E+00  1.006E+01  4.617E+00
0   42  1.981E+00  3.667E+00  9.747E+01  4.169E+00
0   43 -5.743E-01  5.314E+00  9.076E+01  4.667E+00
0   44  2.660E-01  5.485E+00  9.008E+01  4.416E+00
0   45 -1.416E-01  5.478E+00  3.950E+01  4.357E+00
0   46  1.727E+00  1.706E+00  2.795E+01  4.562E+00
0   47 -2.398E+00  1.767E+00  2.153E+01  4.428E+00
0   48  9.390E-01  5.133E+00  5.402E+01  4.597E+00
0   49 -2.389E-01  5.840E+00  8.269E+01  3.762E+00
0   50  4.114E-01  8.337E+00  4.290E+01  4.946E+00
0   51 -1.899E+00  4.408E+00  1.573E+01  4.583E+00
0   52 -2.203E+00  4.950E+00  9.598E+01  4.103E+00
0   53  1.965E+00  3.863E+00  8.813E+01  4.227E+00
0   54  5.632E-01  8.581E+00  1.555E+01  4.691E+00
0   55 -3.492E+00  6.397E+00  4.151E+01  3.819E+00
0   56 -2.614E+00  4.244E+00  8.359E+01  4.551E+00
0   57  2.263E+00  3.767E+00  6.963E+01  4.647E+00
0   58  1.850E+00  5.045E+00  9.049E+01  4.579E+00
0   59 -2.079E-02  6.487E+00  5.945E+01  3.920E+00
0   60 -3.618E-01  3.992E+00  1.049E+01  4.556E+00
0   61  3.404E+00  5.989E+00  2.960E+01  4.338E+00
0   62 -8.648E-01  2.317E+00  3.483E+01  4.378E+00
0   63  1.293E+00  5.202E+00  9.133E+01  4.518E+00
0   64 -2.462E+00  7.439E+00  5.893E+01  3.953E+00
0   65 -2.126E+00  7.199E+00  8.110E+01  4.340E+00
0   66 -1.157E+00  6.963E+00  9.473E+01  4.382E+00
0   67 -1.716E+00  7.313E+00  9.607E+01  4.809E+00
0   68  1.559E-01  3.354E+00  5.671E+01  4.662E+00
0   69 -2.484E+00  1.170E+00  2.392E+01  4.580E+00
0   70  8.896E-01  9.146E+00  5.541E+01  3.837E+00
0   71 -1.649E+00  2.745E+00  4.347E+01  4.906E+00
0   72 -4.799E-02  7.846E+00  3.176E+01  4.673E+00
0   73 -2.351E+00  8.365E+00  3.153E+01  4.288E+00
0   74 -1.742E+00  6.701E+00  1.990E+01  4.887E+00
0   75  6.115E-02  9.968E+00  1.619E+01  4.594E+00
0   76 -4.749E-01  8.055E+00  4.792E+01  5.115E+00
0   77  8.612E-01  3.657E+00  6.628E+01  3.959E+00
0   78 -6.084E-01  7.298E+00  8.275E+01  4.718E+00
0   79  1.813E+00  7.457E+00  1.596E+01  4.374E+00
0   80  1.341E+00  4.247E-01  5.410E+01  3.997E+00
0   81  7.666E-01  7.181E+00  9.980E+01  4.536E+00
0   82 -1.563E+00  5.786E+00  6.789E+01  4.059E+00
0   83 -7.811E-02  8.119E+00  4.596E+01  3.839E+00
0   84  5.560E-01  7.912E+00  8.149E+01  4.627E+00
0   85  3.380E-01  5.630E+00  8.876E+01  4.748E+00
0   86  1.286E+00  5.932E+00  1.455E+01  4.444E+00
0   87 -1.608E+00  9.623E+00  8.531E+01  4.364E+00
0   88  3.500E+00  5.089E+00  8.069E+01  4.343E+00
0   89 -1.235E+00  4.418E+00  7.174E+01  4.739E+00
0   90 -2.579E-01  4.839E+00  5.004E+01  4.332E+00
0   91 -2.189E+00  6.869E+00  9.307E+01  4.708E+00
0   92 -1.585E+00  5.961E+00  8.132E+01  4.527E+00
0   93  1.626E+00  2.253E+00  1.919E+01  4.211E+00
0   94  1.831E+00  3.495E+00  5.306E+01  4.782E+00
